Application_Number,API,STAV,smazat
2013-28344,PUV/28344,Zaniklý dokument,NULL
2013-28351,PUV/28351,Zaniklý dokument,NULL
2013-28357,PUV/28357,Zaniklý dokument,NULL
2013-28358,PUV/28358,Zaniklý dokument,NULL
2013-28360,PUV/28360,Zaniklý dokument,NULL
2013-28364,PUV/28364,Zaniklý dokument,NULL
2013-28369,PUV/28369,Zaniklý dokument,NULL
2013-28375,PUV/28375,Zaniklý dokument,NULL
2013-28377,PUV/28377,Zaniklý dokument,NULL
2013-28380,PUV/28380,Zaniklý dokument,NULL
2013-28382,PUV/28382,Zaniklý dokument,NULL
2013-28383,PUV/28383,Zaniklý dokument,NULL
2013-28384,PUV/28384,Zaniklý dokument,NULL
2013-28386,PUV/28386,Zaniklý dokument,NULL
2013-28389,PUV/28389,Zaniklý dokument,NULL
2013-28391,PUV/28391,Zaniklý dokument,NULL
2013-28399,PUV/28399,Zaniklý dokument,NULL
2013-283,PT/2013-283,Zaniklý dokument,NULL
2013-28404,PUV/28404,Zaniklý dokument,NULL
2013-28405,PUV/28405,Zaniklý dokument,NULL
2013-28412,PUV/28412,Zaniklý dokument,NULL
2013-28422,PUV/28422,Zaniklý dokument,NULL
2013-28423,PUV/28423,Zaniklý dokument,NULL
2013-28434,PUV/28434,Zaniklý dokument,NULL
2013-28438,PUV/28438,Zaniklý dokument,NULL
2013-28440,PUV/28440,Zaniklý dokument,NULL
2013-28448,PUV/28448,Zaniklý dokument,NULL
2013-28452,PUV/28452,Zaniklý dokument,NULL
2013-28454,PUV/28454,Zaniklý dokument,NULL
2013-28461,PUV/28461,Zaniklý dokument,NULL
2013-28469,PUV/28469,Zaniklý dokument,NULL
2013-28474,PUV/28474,Zaniklý dokument,NULL
2013-28489,PUV/28489,Zaniklý dokument,NULL
2013-28490,PUV/28490,Zaniklý dokument,NULL
2013-28495,PUV/28495,Zaniklý dokument,NULL
2013-28499,PUV/28499,Zaniklý dokument,NULL
2013-28501,PUV/28501,Zaniklý dokument,NULL
2013-28502,PUV/28502,Zaniklý dokument,NULL
2013-28505,PUV/28505,Zaniklý dokument,NULL
2013-28513,PUV/28513,Zaniklý dokument,NULL
2013-28518,PUV/28518,Zaniklý dokument,NULL
2013-28523,PUV/28523,Zaniklý dokument,NULL
2013-28524,PUV/28524,Zaniklý dokument,NULL
2013-28530,PUV/28530,Zaniklý dokument,NULL
2013-28539,PUV/28539,Zaniklý dokument,NULL
2013-28540,PUV/28540,Zaniklý dokument,NULL
2013-28554,PUV/28554,Zaniklý dokument,NULL
2013-28555,PUV/28555,Zaniklý dokument,NULL
2013-28556,PUV/28556,Zaniklý dokument,NULL
2013-28557,PUV/28557,Zaniklý dokument,NULL
2013-28558,PUV/28558,Zaniklý dokument,NULL
2013-28571,PUV/28571,Zaniklý dokument,NULL
2013-28583,PUV/28583,Zaniklý dokument,NULL
2013-28595,PUV/28595,Zaniklý dokument,NULL
2013-28602,PUV/28602,Zaniklý dokument,NULL
2013-28603,PUV/28603,Zaniklý dokument,NULL
2013-28611,PUV/28611,Zaniklý dokument,NULL
2013-28612,PUV/28612,Zaniklý dokument,NULL
2013-28621,PUV/28621,Zaniklý dokument,NULL
2013-28622,PUV/28622,Zaniklý dokument,NULL
2013-28623,PUV/28623,Zaniklý dokument,NULL
2013-28624,PUV/28624,Zaniklý dokument,NULL
2013-28626,PUV/28626,Zaniklý dokument,NULL
2013-28640,PUV/28640,Zaniklý dokument,NULL
2013-28649,PUV/28649,Zaniklý dokument,NULL
2013-28662,PUV/28662,Zaniklý dokument,NULL
2013-28663,PUV/28663,Zaniklý dokument,NULL
2013-28666,PUV/28666,Zaniklý dokument,NULL
2013-28667,PUV/28667,Zaniklý dokument,NULL
2013-28671,PUV/28671,Zaniklý dokument,NULL
2013-28672,PUV/28672,Zaniklý dokument,NULL
2013-28673,PUV/28673,Zaniklý dokument,NULL
2013-28674,PUV/28674,Zaniklý dokument,NULL
2013-28675,PUV/28675,Zaniklý dokument,NULL
2013-28676,PUV/28676,Zaniklý dokument,NULL
2013-28677,PUV/28677,Zaniklý dokument,NULL
2013-28678,PUV/28678,Zaniklý dokument,NULL
2013-28679,PUV/28679,Zaniklý dokument,NULL
2013-28680,PUV/28680,Zaniklý dokument,NULL
2013-28681,PUV/28681,Zaniklý dokument,NULL
2013-28682,PUV/28682,Zaniklý dokument,NULL
2013-28683,PUV/28683,Zaniklý dokument,NULL
2013-28691,PUV/28691,Zaniklý dokument,NULL
2013-28692,PUV/28692,Zaniklý dokument,NULL
2013-28693,PUV/28693,Zaniklý dokument,NULL
2013-28694,PUV/28694,Zaniklý dokument,NULL
2013-28695,PUV/28695,Zaniklý dokument,NULL
2013-28700,PUV/28700,Zaniklý dokument,NULL
2013-28701,PUV/28701,Zaniklý dokument,NULL
2013-28702,PUV/28702,Zaniklý dokument,NULL
2013-28704,PUV/28704,Zaniklý dokument,NULL
2013-28708,PUV/28708,Zaniklý dokument,NULL
2013-28711,PUV/28711,Zaniklý dokument,NULL
2013-28715,PUV/28715,Zaniklý dokument,NULL
2013-28717,PUV/28717,Zaniklý dokument,NULL
2013-28725,PUV/28725,Zaniklý dokument,NULL
2013-28726,PUV/28726,Zaniklý dokument,NULL
2013-28728,PUV/28728,Zaniklý dokument,NULL
2013-28731,PUV/28731,Zaniklý dokument,NULL
2013-28740,PUV/28740,Zaniklý dokument,NULL
2013-28741,PUV/28741,Zaniklý dokument,NULL
2013-28742,PUV/28742,Zaniklý dokument,NULL
2013-28744,PUV/28744,Zaniklý dokument,NULL
2013-28753,PUV/28753,Zaniklý dokument,NULL
2013-28762,PUV/28762,Zaniklý dokument,NULL
2013-28763,PUV/28763,Zaniklý dokument,NULL
2013-28769,PUV/28769,Zaniklý dokument,NULL
2013-28770,PUV/28770,Zaniklý dokument,NULL
2013-28773,PUV/28773,Zaniklý dokument,NULL
2013-28774,PUV/28774,Zaniklý dokument,NULL
2013-28775,PUV/28775,Zaniklý dokument,NULL
2013-28776,PUV/28776,Zaniklý dokument,NULL
2013-28777,PUV/28777,Zaniklý dokument,NULL
2013-28782,PUV/28782,Zaniklý dokument,NULL
