Applicant_name,Country_code,Application_number,File_name,Filing_date,ID_univerzita,API,TYP,TYP_cislo,Application_number,API,STAV,API_typ
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2018-35670,OPENDATAST96_PT_CZ_DIFF_PUV2018-35670.xml,43432,3,PUV/35670,PUV,2,2018-35670,PUV/35670,PlatnĂ˝ dokument,PUV/35670-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2018-35749,OPENDATAST96_PT_CZ_DIFF_PUV2018-35749.xml,43451,3,PUV/35749,PUV,2,2018-35749,PUV/35749,PlatnĂ˝ dokument,PUV/35749-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2019-36294,OPENDATAST96_PT_CZ_DIFF_PUV2019-36294.xml,43628,3,PUV/36294,PUV,2,2019-36294,PUV/36294,ZaniklĂ˝ dokument,PUV/36294-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2019-36372,OPENDATAST96_PT_CZ_DIFF_PUV2019-36372.xml,43647,3,PUV/36372,PUV,2,2019-36372,PUV/36372,PlatnĂ˝ dokument,PUV/36372-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2019-36374,OPENDATAST96_PT_CZ_DIFF_PUV2019-36374.xml,43647,3,PUV/36374,PUV,2,2019-36374,PUV/36374,PlatnĂ˝ dokument,PUV/36374-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2019-36419,OPENDATAST96_PT_CZ_DIFF_PUV2019-36419.xml,43663,3,PUV/36419,PUV,2,2019-36419,PUV/36419,ZaniklĂ˝ dokument,PUV/36419-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2019-36450,OPENDATAST96_PT_CZ_DIFF_PUV2019-36450.xml,43675,3,PUV/36450,PUV,2,2019-36450,PUV/36450,PlatnĂ˝ dokument,PUV/36450-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2019-36581,OPENDATAST96_PT_CZ_DIFF_PUV2019-36581.xml,43711,3,PUV/36581,PUV,2,2019-36581,PUV/36581,ZaniklĂ˝ dokument,PUV/36581-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2019-36723,OPENDATAST96_PT_CZ_DIFF_PUV2019-36723.xml,43747,3,PUV/36723,PUV,2,2019-36723,PUV/36723,PlatnĂ˝ dokument,PUV/36723-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2019-36779,OPENDATAST96_PT_CZ_DIFF_PUV2019-36779.xml,43759,3,PUV/36779,PUV,2,2019-36779,PUV/36779,ZaniklĂ˝ dokument,PUV/36779-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2019-36957,OPENDATAST96_PT_CZ_DIFF_PUV2019-36957.xml,43803,3,PUV/36957,PUV,2,2019-36957,PUV/36957,ZaniklĂ˝ dokument,PUV/36957-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2019-37092,OPENDATAST96_PT_CZ_DIFF_PUV2019-37092.xml,43829,3,PUV/37092,PUV,2,2019-37092,PUV/37092,ZaniklĂ˝ dokument,PUV/37092-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2020-37455,OPENDATAST96_PT_CZ_DIFF_PUV2020-37455.xml,43941,3,PUV/37455,PUV,2,2020-37455,PUV/37455,PlatnĂ˝ dokument,PUV/37455-2
